concept;items_spa;cats
Atribuciones de pobreza;Frecuencia en que la Falta de habilidad podría ser la causa de la pobreza;(1) Nunca (5) Siempre 
Atribuciones de pobreza;Frecuencia en que la Mala suerte podría ser la causa de la pobreza;(1) Nunca (5) Siempre 
Atribuciones de pobreza;Frecuencia en que la Falta de esfuerzo podría ser la causa de la pobreza;(1) Nunca (5) Siempre 
Atribuciones de pobreza;Frecuencia en que el Sistema económico podría ser la causa de la pobreza;(1) Nunca (5) Siempre 
Atribuciones de pobreza;Frecuencia en que el Sistema educativo podría ser la causa de la pobreza;(1) Nunca (5) Siempre 
Atribuciones de riqueza;Frecuencia en que el Talento podría ser la causa de la riqueza;(1) Nunca (5) Siempre 
Atribuciones de riqueza;Frecuencia en que la Suerte podría ser la causa de la riqueza;(1) Nunca (5) Siempre 
Atribuciones de riqueza;Frecuencia en que el Trabajo duro podría ser la causa de la riqueza;(1) Nunca (5) Siempre 
Atribuciones de riqueza;Frecuencia en que el Sistema económico podría ser la causa de la riqueza;(1) Nunca (5) Siempre 
Atribuciones de riqueza;Frecuencia en que el Sistema educativo podría ser la causa de la riqueza;(1) Nunca (5) Siempre 
